#v4	V5	V4	out	I(V6)
4.370000000000013e+000	5.000000e+000	4.370000e+000	2.351261e-010	-2.000200e-011
4.360000000000014e+000	5.000000e+000	4.360000e+000	2.353773e-010	-2.000200e-011
4.350000000000014e+000	5.000000e+000	4.350000e+000	2.356305e-010	-2.000200e-011
4.340000000000014e+000	5.000000e+000	4.340000e+000	2.358858e-010	-2.000200e-011
4.330000000000014e+000	5.000000e+000	4.330000e+000	2.361431e-010	-2.000200e-011
4.320000000000015e+000	5.000000e+000	4.320000e+000	2.364024e-010	-2.000200e-011
4.310000000000015e+000	5.000000e+000	4.310000e+000	2.366639e-010	-2.000200e-011
4.300000000000015e+000	5.000000e+000	4.300000e+000	2.369274e-010	-2.000200e-011
4.290000000000015e+000	5.000000e+000	4.290000e+000	2.371931e-010	-2.000200e-011
4.280000000000015e+000	5.000000e+000	4.280000e+000	2.374609e-010	-2.000200e-011
4.270000000000016e+000	5.000000e+000	4.270000e+000	2.377310e-010	-2.000200e-011
4.260000000000016e+000	5.000000e+000	4.260000e+000	2.380033e-010	-2.000200e-011
4.250000000000016e+000	5.000000e+000	4.250000e+000	2.382778e-010	-2.000200e-011
4.240000000000016e+000	5.000000e+000	4.240000e+000	2.385545e-010	-2.000200e-011
4.230000000000016e+000	5.000000e+000	4.230000e+000	2.388336e-010	-2.000200e-011
4.220000000000017e+000	5.000000e+000	4.220000e+000	2.391150e-010	-2.000200e-011
4.210000000000017e+000	5.000000e+000	4.210000e+000	2.393988e-010	-2.000200e-011
4.200000000000017e+000	5.000000e+000	4.200000e+000	2.396849e-010	-2.000200e-011
4.190000000000017e+000	5.000000e+000	4.190000e+000	2.399735e-010	-2.000200e-011
4.180000000000018e+000	5.000000e+000	4.180000e+000	2.402645e-010	-2.000200e-011
4.170000000000018e+000	5.000000e+000	4.170000e+000	2.405580e-010	-2.000200e-011
4.160000000000018e+000	5.000000e+000	4.160000e+000	2.408540e-010	-2.000200e-011
4.150000000000018e+000	5.000000e+000	4.150000e+000	2.411526e-010	-2.000200e-011
4.140000000000018e+000	5.000000e+000	4.140000e+000	2.414537e-010	-2.000200e-011
4.130000000000019e+000	5.000000e+000	4.130000e+000	2.417574e-010	-2.000200e-011
4.120000000000019e+000	5.000000e+000	4.120000e+000	2.420638e-010	-2.000200e-011
4.110000000000019e+000	5.000000e+000	4.110000e+000	2.423729e-010	-2.000200e-011
4.100000000000019e+000	5.000000e+000	4.100000e+000	2.426847e-010	-2.000200e-011
4.090000000000019e+000	5.000000e+000	4.090000e+000	2.429992e-010	-2.000200e-011
4.080000000000020e+000	5.000000e+000	4.080000e+000	2.433166e-010	-2.000200e-011
4.070000000000020e+000	5.000000e+000	4.070000e+000	2.436367e-010	-2.000200e-011
4.060000000000020e+000	5.000000e+000	4.060000e+000	2.439597e-010	-2.000200e-011
4.050000000000020e+000	5.000000e+000	4.050000e+000	2.442857e-010	-2.000200e-011
4.040000000000021e+000	5.000000e+000	4.040000e+000	2.446145e-010	-2.000200e-011
4.030000000000021e+000	5.000000e+000	4.030000e+000	2.449464e-010	-2.000200e-011
4.020000000000021e+000	5.000000e+000	4.020000e+000	2.452812e-010	-2.000200e-011
4.010000000000021e+000	5.000000e+000	4.010000e+000	2.456192e-010	-2.000200e-011
4.000000000000021e+000	5.000000e+000	4.000000e+000	2.459602e-010	-2.000200e-011
3.990000000000022e+000	5.000000e+000	3.990000e+000	2.463044e-010	-2.000200e-011
3.980000000000022e+000	5.000000e+000	3.980000e+000	2.466518e-010	-2.000200e-011
3.970000000000022e+000	5.000000e+000	3.970000e+000	2.470024e-010	-2.000200e-011
3.960000000000022e+000	5.000000e+000	3.960000e+000	2.473563e-010	-2.000200e-011
3.950000000000022e+000	5.000000e+000	3.950000e+000	2.477135e-010	-2.000200e-011
3.940000000000023e+000	5.000000e+000	3.940000e+000	2.480741e-010	-2.000200e-011
3.930000000000023e+000	5.000000e+000	3.930000e+000	2.484382e-010	-2.000200e-011
3.920000000000023e+000	5.000000e+000	3.920000e+000	2.488056e-010	-2.000200e-011
3.910000000000023e+000	5.000000e+000	3.910000e+000	2.491767e-010	-2.000200e-011
3.900000000000023e+000	5.000000e+000	3.900000e+000	2.495513e-010	-2.000200e-011
3.890000000000024e+000	5.000000e+000	3.890000e+000	2.499295e-010	-2.000200e-011
3.880000000000024e+000	5.000000e+000	3.880000e+000	2.503114e-010	-2.000200e-011
3.870000000000024e+000	5.000000e+000	3.870000e+000	2.506970e-010	-2.000200e-011
3.860000000000024e+000	5.000000e+000	3.860000e+000	2.510865e-010	-2.000200e-011
3.850000000000025e+000	5.000000e+000	3.850000e+000	2.514798e-010	-2.000200e-011
3.840000000000025e+000	5.000000e+000	3.840000e+000	2.518769e-010	-2.000200e-011
3.830000000000025e+000	5.000000e+000	3.830000e+000	2.522781e-010	-2.000200e-011
3.820000000000025e+000	5.000000e+000	3.820000e+000	2.526832e-010	-2.000200e-011
