#Uin1	Uin1	Uin2	out	I(V3)
4.370000000000013e+000	4.370000e+000	0.000000e+000	3.097355e-011	-5.001014e-012
4.360000000000014e+000	4.360000e+000	0.000000e+000	3.103637e-011	-5.001014e-012
4.350000000000014e+000	4.350000e+000	0.000000e+000	3.109969e-011	-5.001014e-012
4.340000000000014e+000	4.340000e+000	0.000000e+000	3.116351e-011	-5.001014e-012
4.330000000000014e+000	4.330000e+000	0.000000e+000	3.122783e-011	-5.001014e-012
4.320000000000015e+000	4.320000e+000	0.000000e+000	3.129268e-011	-5.001014e-012
4.310000000000015e+000	4.310000e+000	0.000000e+000	3.135804e-011	-5.001014e-012
4.300000000000015e+000	4.300000e+000	0.000000e+000	3.142393e-011	-5.001014e-012
4.290000000000015e+000	4.290000e+000	0.000000e+000	3.149036e-011	-5.001014e-012
4.280000000000015e+000	4.280000e+000	0.000000e+000	3.155733e-011	-5.001014e-012
4.270000000000016e+000	4.270000e+000	0.000000e+000	3.162485e-011	-5.001014e-012
4.260000000000016e+000	4.260000e+000	0.000000e+000	3.169292e-011	-5.001014e-012
4.250000000000016e+000	4.250000e+000	0.000000e+000	3.176155e-011	-5.001014e-012
4.240000000000016e+000	4.240000e+000	0.000000e+000	3.183075e-011	-5.001014e-012
4.230000000000016e+000	4.230000e+000	0.000000e+000	3.190052e-011	-5.001014e-012
4.220000000000017e+000	4.220000e+000	0.000000e+000	3.197088e-011	-5.001014e-012
4.210000000000017e+000	4.210000e+000	0.000000e+000	3.204183e-011	-5.001014e-012
4.200000000000017e+000	4.200000e+000	0.000000e+000	3.211337e-011	-5.001014e-012
4.190000000000017e+000	4.190000e+000	0.000000e+000	3.218552e-011	-5.001014e-012
4.180000000000018e+000	4.180000e+000	0.000000e+000	3.225828e-011	-5.001014e-012
4.170000000000018e+000	4.170000e+000	0.000000e+000	3.233166e-011	-5.001014e-012
4.160000000000018e+000	4.160000e+000	0.000000e+000	3.240567e-011	-5.001014e-012
4.150000000000018e+000	4.150000e+000	0.000000e+000	3.248032e-011	-5.001014e-012
4.140000000000018e+000	4.140000e+000	0.000000e+000	3.255561e-011	-5.001014e-012
4.130000000000019e+000	4.130000e+000	0.000000e+000	3.263155e-011	-5.001014e-012
4.120000000000019e+000	4.120000e+000	0.000000e+000	3.270816e-011	-5.001014e-012
4.110000000000019e+000	4.110000e+000	0.000000e+000	3.278543e-011	-5.001014e-012
4.100000000000019e+000	4.100000e+000	0.000000e+000	3.286339e-011	-5.001014e-012
4.090000000000019e+000	4.090000e+000	0.000000e+000	3.294203e-011	-5.001014e-012
4.080000000000020e+000	4.080000e+000	0.000000e+000	3.302137e-011	-5.001014e-012
4.070000000000020e+000	4.070000e+000	0.000000e+000	3.310142e-011	-5.001014e-012
4.060000000000020e+000	4.060000e+000	0.000000e+000	3.318218e-011	-5.001014e-012
4.050000000000020e+000	4.050000e+000	0.000000e+000	3.326367e-011	-5.001014e-012
4.040000000000021e+000	4.040000e+000	0.000000e+000	3.334589e-011	-5.001014e-012
4.030000000000021e+000	4.030000e+000	0.000000e+000	3.342886e-011	-5.001014e-012
4.020000000000021e+000	4.020000e+000	0.000000e+000	3.351259e-011	-5.001014e-012
4.010000000000021e+000	4.010000e+000	0.000000e+000	3.359708e-011	-5.001014e-012
4.000000000000021e+000	4.000000e+000	0.000000e+000	3.368235e-011	-5.001014e-012
3.990000000000022e+000	3.990000e+000	0.000000e+000	3.376840e-011	-5.001014e-012
3.980000000000022e+000	3.980000e+000	0.000000e+000	3.385525e-011	-5.001014e-012
3.970000000000022e+000	3.970000e+000	0.000000e+000	3.394291e-011	-5.001014e-012
3.960000000000022e+000	3.960000e+000	0.000000e+000	3.403140e-011	-5.001014e-012
3.950000000000022e+000	3.950000e+000	0.000000e+000	3.412071e-011	-5.001014e-012
3.940000000000023e+000	3.940000e+000	0.000000e+000	3.421087e-011	-5.001014e-012
3.930000000000023e+000	3.930000e+000	0.000000e+000	3.430189e-011	-5.001014e-012
3.920000000000023e+000	3.920000e+000	0.000000e+000	3.439377e-011	-5.001014e-012
3.910000000000023e+000	3.910000e+000	0.000000e+000	3.448654e-011	-5.001014e-012
3.900000000000023e+000	3.900000e+000	0.000000e+000	3.458020e-011	-5.001014e-012
3.890000000000024e+000	3.890000e+000	0.000000e+000	3.467476e-011	-5.001014e-012
3.880000000000024e+000	3.880000e+000	0.000000e+000	3.477025e-011	-5.001014e-012
3.870000000000024e+000	3.870000e+000	0.000000e+000	3.486667e-011	-5.001014e-012
3.860000000000024e+000	3.860000e+000	0.000000e+000	3.496404e-011	-5.001014e-012
3.850000000000025e+000	3.850000e+000	0.000000e+000	3.506236e-011	-5.001014e-012
3.840000000000025e+000	3.840000e+000	0.000000e+000	3.516167e-011	-5.001014e-012
3.830000000000025e+000	3.830000e+000	0.000000e+000	3.526196e-011	-5.001014e-012
3.820000000000025e+000	3.820000e+000	0.000000e+000	3.536325e-011	-5.001014e-012
3.810000000000025e+000	3.810000e+000	0.000000e+000	3.546557e-011	-5.001014e-012
3.800000000000026e+000	3.800000e+000	0.000000e+000	3.556893e-011	-5.001014e-012
3.790000000000026e+000	3.790000e+000	0.000000e+000	3.567333e-011	-5.001014e-012
3.780000000000026e+000	3.780000e+000	0.000000e+000	3.577880e-011	-5.001014e-012
3.770000000000026e+000	3.770000e+000	0.000000e+000	3.588536e-011	-5.001014e-012
3.760000000000026e+000	3.760000e+000	0.000000e+000	3.599302e-011	-5.001014e-012
3.750000000000027e+000	3.750000e+000	0.000000e+000	3.610179e-011	-5.001014e-012
3.740000000000027e+000	3.740000e+000	0.000000e+000	3.621170e-011	-5.001014e-012
3.730000000000027e+000	3.730000e+000	0.000000e+000	3.632277e-011	-5.001014e-012
3.720000000000027e+000	3.720000e+000	0.000000e+000	3.643500e-011	-5.001014e-012
3.710000000000028e+000	3.710000e+000	0.000000e+000	3.654843e-011	-5.001014e-012
3.700000000000028e+000	3.700000e+000	0.000000e+000	3.666306e-011	-5.001014e-012
3.690000000000028e+000	3.690000e+000	0.000000e+000	3.677893e-011	-5.001014e-012
3.680000000000028e+000	3.680000e+000	0.000000e+000	3.689604e-011	-5.001014e-012
3.670000000000028e+000	3.670000e+000	0.000000e+000	3.701442e-011	-5.001014e-012
3.660000000000029e+000	3.660000e+000	0.000000e+000	3.713409e-011	-5.001014e-012
3.650000000000029e+000	3.650000e+000	0.000000e+000	3.725507e-011	-5.001014e-012
3.640000000000029e+000	3.640000e+000	0.000000e+000	3.737739e-011	-5.001014e-012
3.630000000000029e+000	3.630000e+000	0.000000e+000	3.750105e-011	-5.001014e-012
3.620000000000029e+000	3.620000e+000	0.000000e+000	3.762610e-011	-5.001014e-012
3.610000000000030e+000	3.610000e+000	0.000000e+000	3.775254e-011	-5.001014e-012
3.600000000000030e+000	3.600000e+000	0.000000e+000	3.788041e-011	-5.001014e-012
3.590000000000030e+000	3.590000e+000	0.000000e+000	3.800973e-011	-5.001014e-012
3.580000000000030e+000	3.580000e+000	0.000000e+000	3.814052e-011	-5.001014e-012
3.570000000000031e+000	3.570000e+000	0.000000e+000	3.827281e-011	-5.001014e-012
3.560000000000031e+000	3.560000e+000	0.000000e+000	3.840662e-011	-5.001014e-012
3.550000000000031e+000	3.550000e+000	0.000000e+000	3.854199e-011	-5.001014e-012
3.540000000000031e+000	3.540000e+000	0.000000e+000	3.867893e-011	-5.001014e-012
3.530000000000031e+000	3.530000e+000	0.000000e+000	3.881747e-011	-5.001014e-012
3.520000000000032e+000	3.520000e+000	0.000000e+000	3.895765e-011	-5.001014e-012
3.510000000000032e+000	3.510000e+000	0.000000e+000	3.909950e-011	-5.001014e-012
3.500000000000032e+000	3.500000e+000	0.000000e+000	3.924303e-011	-5.001014e-012
3.490000000000032e+000	3.490000e+000	0.000000e+000	3.938829e-011	-5.001014e-012
3.480000000000032e+000	3.480000e+000	0.000000e+000	3.953530e-011	-5.001014e-012
3.470000000000033e+000	3.470000e+000	0.000000e+000	3.968410e-011	-5.001014e-012
